Country,Year,Employment_Sector_Agriculture,Employment_Sector_Industry,Employment_Sector_Services
Malaysia,1991,18.88788292,31.38482376,49.72729332
Malaysia,1992,18.5288644,31.61980404,49.85134579
Malaysia,1993,17.81302876,32.01234418,50.17462706
Malaysia,1994,17.54219376,32.15850614,50.2993001
Malaysia,1995,17.19127294,32.33877934,50.46994772
Malaysia,1996,16.9066746,32.23644871,50.85687669
Malaysia,1997,15.90344823,33.66592463,50.43062714
Malaysia,1998,16.46892885,31.77009388,51.76098902
Malaysia,1999,15.90433135,31.60081633,52.49486373
Malaysia,2000,15.2821691,32.01320754,52.70462336
Malaysia,2001,15.13181934,33.10747907,51.76069083
Malaysia,2002,14.92748323,31.98326907,53.0892477
Malaysia,2003,14.26776369,32.02294142,53.70930506
Malaysia,2004,14.55584228,30.1257623,55.31839542
Malaysia,2005,14.63754543,29.72902727,55.63341772
Malaysia,2006,14.63245784,30.25858751,55.10895465
Malaysia,2007,14.7300504,28.46164226,56.80830734
Malaysia,2008,13.95890564,28.67352156,57.3675728
Malaysia,2009,13.49621846,27.01227429,59.49150725
Malaysia,2010,13.30248193,27.6126892,59.08482887
Malaysia,2011,13.36578105,27.56840147,59.0658096
Malaysia,2012,13.25114606,27.57531577,59.17354573
Malaysia,2013,12.69298281,27.94262357,59.36438641
Malaysia,2014,12.58643765,27.7483962,59.66516616
Malaysia,2015,12.46907786,27.51883726,60.01207802
Malaysia,2016,11.36710214,27.48679367,61.14610419
Malaysia,2017,11.27673956,27.49595376,61.22730007
Malaysia,2018,10.6176262,27.64294063,61.73943318
Malaysia,2019,10.21672006,27.734746,62.04852766
Malaysia,2020,10.46626972,27.82344232,61.71029426
Malaysia,2021,10.30565825,28.19683844,61.49750944
Malaysia,2022,9.996180595,28.13386759,61.86995788
